listing_id,year,month,platform,category,product_name,brand,dark_pattern_type,ccpa_category,severity_score,hidden_fee_inr,price_inflation_inr,effective_price_inr
LST00080,2021,1,Meesho,Home & Kitchen,Hawkins Futura 3L Hard Anodized Pressure Cooker,Hawkins,Inflated Original Price,Pricing Manipulation,5,0,1460,1728
LST00081,2021,1,Meesho,Home & Kitchen,Crompton Greaves Ozone Desert Air Cooler,Crompton,Forced Continuity,Subscription Trap,4,0,4037,7325
LST00084,2021,1,Meesho,Books,The Subtle Art of Not Giving a F*ck,Mark Manson,Forced Continuity,Subscription Trap,4,0,171,219
LST00085,2021,1,Meesho,Home & Kitchen,Usha Maxx Air 400mm Pedestal Fan,Usha,Confirm Shaming,Misdirection,3,0,1319,2144
LST00087,2021,1,Meesho,Electronics,Syska LED Desk Lamp,Syska,Forced Continuity,Subscription Trap,4,0,463,459
LST00088,2021,1,Meesho,Beauty,Nykaa Cosmetics SKINgenius Setting Powder,Nykaa,Misleading Discount Badge,Pricing Manipulation,4,0,404,461
LST00089,2021,1,Meesho,Footwear,Woodland Men's Camel Leather Boot,Woodland,Forced Continuity,Subscription Trap,4,0,1756,2656
LST00090,2021,1,Meesho,Mobile Phones,realme narzo N53 4GB+64GB,realme,Confirm Shaming,Misdirection,3,0,4039,8438
LST00091,2021,1,Meesho,Home & Kitchen,Pigeon by Stovekraft 1.5L Electric Kettle,Pigeon,Hidden Convenience Fee,Drip Pricing,5,32,437,618
LST00092,2021,1,Meesho,Electronics,Logitech MK235 Wireless Keyboard Mouse,Logitech,Hidden Convenience Fee,Drip Pricing,5,49,696,1511
LST00093,2021,1,Meesho,Mobile Phones,OnePlus Nord CE 3 Lite 5G 8GB+128GB,OnePlus,False Scarcity,Scarcity Creation,4,0,6830,16564
LST00094,2021,1,Meesho,Beauty,WOW Skin Science Apple Cider Vinegar Shampoo,WOW,Forced Continuity,Subscription Trap,4,0,283,271
LST00095,2021,1,Meesho,Books,The Alchemist - Paulo Coelho,Paulo Coelho,False Scarcity,Scarcity Creation,4,0,124,134
LST00096,2021,1,Meesho,Mobile Phones,Motorola Moto G54 5G 8GB+256GB,Motorola,Fake Countdown Timer,Urgency Creation,3,0,4873,15026
LST00097,2021,1,Meesho,Footwear,Action Men's Training Shoes,Action,Confirm Shaming,Misdirection,3,0,683,687
LST00100,2021,1,Meesho,Mobile Phones,Motorola Moto G54 5G 8GB+256GB,Motorola,Forced Continuity,Subscription Trap,4,0,4081,15034
LST00101,2021,1,Meesho,Mobile Phones,OnePlus Nord CE 3 Lite 5G 8GB+128GB,OnePlus,Misleading Discount Badge,Pricing Manipulation,4,0,4698,19518
LST00102,2021,1,Meesho,Home & Kitchen,Usha Maxx Air 400mm Pedestal Fan,Usha,Misleading Discount Badge,Pricing Manipulation,4,0,1255,2338
LST00103,2021,1,Meesho,Footwear,Liberty Gliders Women's Bellies,Liberty,Social Proof Manipulation,Social Proof Misuse,2,0,767,697
LST00104,2021,1,Meesho,Mobile Phones,Nothing Phone (2a) 8GB+128GB,Nothing,Forced Continuity,Subscription Trap,4,0,10972,21178
LST00105,2021,1,Meesho,Toys,NHR Carrom Board with Coins & Striker,NHR,Misleading Discount Badge,Pricing Manipulation,4,0,899,955
LST00106,2021,1,Meesho,Toys,Funskool Ludo & Snakes & Ladders Board Game,Funskool,Social Proof Manipulation,Social Proof Misuse,2,0,302,270
LST00108,2021,1,Meesho,Footwear,Woodland Men's Camel Leather Boot,Woodland,False Scarcity,Scarcity Creation,4,0,1713,2621
LST00109,2021,1,Meesho,Home & Kitchen,Bajaj Majesty 1000W Room Heater,Bajaj,Inflated Original Price,Pricing Manipulation,5,0,1032,1180
LST00110,2021,1,Meesho,Home & Kitchen,Solimo Stainless Steel Dinner Set 26 Pcs,Solimo,Social Proof Manipulation,Social Proof Misuse,2,0,600,845
LST00111,2021,1,Meesho,Fashion,W Women's Printed Kurta,W,Inflated Original Price,Pricing Manipulation,5,0,700,570
LST00112,2021,1,Meesho,Mobile Phones,Redmi 12C 4GB RAM 64GB Storage,Xiaomi,Inflated Original Price,Pricing Manipulation,5,0,2740,8353
LST00113,2021,1,Meesho,Toys,Itsy Bitsy Wooden Building Blocks 50pcs,Itsy Bitsy,Misleading Discount Badge,Pricing Manipulation,4,0,467,544
LST00115,2021,1,Meesho,Fashion,Allen Solly Women Straight Fit Trousers,Allen Solly,Fake Countdown Timer,Urgency Creation,3,0,1074,975
LST00116,2021,1,Meesho,Beauty,Biotique Bio Honey Gel Face Wash,Biotique,Hidden Convenience Fee,Drip Pricing,5,27,160,187
LST00117,2021,1,Meesho,Books,Think and Grow Rich - Napoleon Hill,Napoleon Hill,Forced Continuity,Subscription Trap,4,0,153,152
LST00118,2021,1,Meesho,Toys,Mattel Hot Wheels 20-Car Gift Pack,Mattel,Fake Countdown Timer,Urgency Creation,3,0,760,760
LST00119,2021,1,Meesho,Fashion,W Women's Printed Kurta,W,Hidden Convenience Fee,Drip Pricing,5,31,633,648
LST00120,2021,1,Meesho,Fashion,Van Heusen Men's Regular Fit T-Shirt,Van Heusen,Social Proof Manipulation,Social Proof Misuse,2,0,751,439
LST00122,2021,1,Meesho,Fashion,W Women's Printed Kurta,W,Hidden Convenience Fee,Drip Pricing,5,47,699,707
LST00123,2021,1,Nykaa,Home & Kitchen,Milton Thermosteel Flip Lid Flask 500ml,Milton,Inflated Original Price,Pricing Manipulation,5,0,398,548
LST00124,2021,1,Nykaa,Mobile Phones,Motorola Moto G54 5G 8GB+256GB,Motorola,False Scarcity,Scarcity Creation,4,0,4374,14835
LST00125,2021,1,Nykaa,Toys,GiiKER Super Slide Puzzle Game,GiiKER,Misleading Discount Badge,Pricing Manipulation,4,0,994,1361
LST00128,2021,1,Nykaa,Electronics,PTron Bassbuds Pro In-Ear TWS,PTron,Misleading Discount Badge,Pricing Manipulation,4,0,1371,712
LST00130,2021,1,Nykaa,Fashion,AND Women's Wrap Dress,AND,Inflated Original Price,Pricing Manipulation,5,0,1472,1252
LST00132,2021,1,Nykaa,Electronics,iBall Slide Elan 3x32 Tablet,iBall,Forced Continuity,Subscription Trap,4,0,3296,6307
LST00133,2021,1,Nykaa,Electronics,Amkette EvoFox Elite Play Gamepad,Amkette,Misleading Discount Badge,Pricing Manipulation,4,0,681,990
LST00135,2021,1,Nykaa,Toys,Mattel Hot Wheels 20-Car Gift Pack,Mattel,Hidden Convenience Fee,Drip Pricing,5,50,886,776
LST00136,2021,1,Nykaa,Mobile Phones,Nothing Phone (2a) 8GB+128GB,Nothing,False Scarcity,Scarcity Creation,4,0,8359,21198
LST00138,2021,1,Nykaa,Mobile Phones,Nothing Phone (2a) 8GB+128GB,Nothing,Misleading Discount Badge,Pricing Manipulation,4,0,4411,25182
LST00140,2021,1,Nykaa,Beauty,Mamaearth Onion Hair Oil 250ml,Mamaearth,Social Proof Manipulation,Social Proof Misuse,2,0,297,330
LST00141,2021,1,Nykaa,Electronics,PTron Bassbuds Pro In-Ear TWS,PTron,Misleading Discount Badge,Pricing Manipulation,4,0,1370,737
LST00142,2021,1,Nykaa,Beauty,Nykaa Cosmetics SKINgenius Setting Powder,Nykaa,Forced Continuity,Subscription Trap,4,0,373,504
LST00143,2021,1,Nykaa,Toys,Skillofun Wooden Jigsaw Puzzle,Skillofun,Forced Continuity,Subscription Trap,4,0,373,380
LST00145,2021,1,Nykaa,Books,Ikigai - Hector Garcia,Hector Garcia,Inflated Original Price,Pricing Manipulation,5,0,143,222
LST00146,2021,1,Nykaa,Toys,Funskool Ludo & Snakes & Ladders Board Game,Funskool,False Scarcity,Scarcity Creation,4,0,372,272
LST00148,2021,1,Nykaa,Books,Rich Dad Poor Dad - Robert Kiyosaki,Robert Kiyosaki,Forced Continuity,Subscription Trap,4,0,187,179
LST00149,2021,1,Nykaa,Fashion,Biba Women's Anarkali Kurti,Biba,Confirm Shaming,Misdirection,3,0,1035,867
LST00150,2021,1,Nykaa,Toys,NHR Carrom Board with Coins & Striker,NHR,Social Proof Manipulation,Social Proof Misuse,2,0,876,799
LST00151,2021,1,Nykaa,Home & Kitchen,Pigeon by Stovekraft 1.5L Electric Kettle,Pigeon,False Scarcity,Scarcity Creation,4,0,395,540
LST00152,2021,1,Nykaa,Toys,Hasbro Monopoly Classic Board Game,Hasbro,Fake Countdown Timer,Urgency Creation,3,0,760,836
LST00153,2021,1,Nykaa,Mobile Phones,OnePlus Nord CE 3 Lite 5G 8GB+128GB,OnePlus,Inflated Original Price,Pricing Manipulation,5,0,4237,17458
LST00154,2021,1,Nykaa,Beauty,Biotique Bio Honey Gel Face Wash,Biotique,Hidden Convenience Fee,Drip Pricing,5,93,183,227
LST00155,2021,1,Nykaa,Beauty,Himalaya Herbals Purifying Neem Face Wash,Himalaya,Fake Countdown Timer,Urgency Creation,3,0,84,88
LST00156,2021,1,Nykaa,Toys,GiiKER Super Slide Puzzle Game,GiiKER,Confirm Shaming,Misdirection,3,0,725,1354
LST00157,2021,1,Nykaa,Mobile Phones,Vivo Y56 5G 8GB+128GB,Vivo,Forced Continuity,Subscription Trap,4,0,3654,16207
LST00158,2021,1,Nykaa,Toys,Itsy Bitsy Wooden Building Blocks 50pcs,Itsy Bitsy,Social Proof Manipulation,Social Proof Misuse,2,0,542,468
LST00161,2021,1,Nykaa,Home & Kitchen,NoBroker Wooden Foldable Study Table,NoBroker,Social Proof Manipulation,Social Proof Misuse,2,0,1256,1608
LST00162,2021,1,Nykaa,Beauty,Mamaearth Onion Hair Oil 250ml,Mamaearth,Misleading Discount Badge,Pricing Manipulation,4,0,230,383
LST00164,2021,1,Nykaa,Footwear,Metro Women's Block Heel Pumps,Metro,Confirm Shaming,Misdirection,3,0,1149,921
LST00165,2021,1,Nykaa,Mobile Phones,Samsung Galaxy M14 5G 4GB+128GB,Samsung,Social Proof Manipulation,Social Proof Misuse,2,0,6121,11761
LST00167,2021,1,Nykaa,Home & Kitchen,Crompton Greaves Ozone Desert Air Cooler,Crompton,Forced Continuity,Subscription Trap,4,0,3751,7784
LST00168,2021,1,Nykaa,Electronics,PTron Bassbuds Pro In-Ear TWS,PTron,Social Proof Manipulation,Social Proof Misuse,2,0,1280,705
LST00169,2021,1,Nykaa,Books,Deep Work - Cal Newport,Cal Newport,Confirm Shaming,Misdirection,3,0,177,253
LST00171,2021,1,Nykaa,Books,The Psychology of Money - Morgan Housel,Morgan Housel,Misleading Discount Badge,Pricing Manipulation,4,0,200,227
LST00172,2021,1,Nykaa,Fashion,Allen Solly Women Straight Fit Trousers,Allen Solly,Confirm Shaming,Misdirection,3,0,1277,935
LST00173,2021,1,Nykaa,Books,Think and Grow Rich - Napoleon Hill,Napoleon Hill,False Scarcity,Scarcity Creation,4,0,124,158
LST00174,2021,1,Nykaa,Toys,Frank Super Scientist Chemistry Set,Frank,Confirm Shaming,Misdirection,3,0,816,684
LST00175,2021,1,Nykaa,Home & Kitchen,Usha Maxx Air 400mm Pedestal Fan,Usha,Confirm Shaming,Misdirection,3,0,1083,2268
LST00176,2021,2,Flipkart,Footwear,Bata Men's Formal Lace-up Shoes,Bata,Misleading Discount Badge,Pricing Manipulation,4,0,1108,1267
LST00177,2021,2,Flipkart,Fashion,W Women's Printed Kurta,W,Confirm Shaming,Misdirection,3,0,700,619
LST00179,2021,2,Flipkart,Home & Kitchen,NoBroker Wooden Foldable Study Table,NoBroker,Inflated Original Price,Pricing Manipulation,5,0,1779,1397
LST00180,2021,2,Flipkart,Electronics,PTron Bassbuds Pro In-Ear TWS,PTron,Social Proof Manipulation,Social Proof Misuse,2,0,1126,759
LST00181,2021,2,Flipkart,Beauty,Mamaearth Onion Hair Oil 250ml,Mamaearth,Hidden Convenience Fee,Drip Pricing,5,115,192,477
LST00183,2021,2,Flipkart,Fashion,Allen Solly Women Straight Fit Trousers,Allen Solly,False Scarcity,Scarcity Creation,4,0,1304,993
LST00184,2021,2,Flipkart,Toys,NHR Carrom Board with Coins & Striker,NHR,Social Proof Manipulation,Social Proof Misuse,2,0,993,839
LST00185,2021,2,Flipkart,Toys,Funskool Ludo & Snakes & Ladders Board Game,Funskool,False Scarcity,Scarcity Creation,4,0,330,267
LST00186,2021,2,Flipkart,Toys,Mattel Hot Wheels 20-Car Gift Pack,Mattel,False Scarcity,Scarcity Creation,4,0,681,717
LST00187,2021,2,Flipkart,Beauty,WOW Skin Science Apple Cider Vinegar Shampoo,WOW,Forced Continuity,Subscription Trap,4,0,299,308
LST00189,2021,2,Flipkart,Fashion,Louis Philippe Slim Fit Chinos,Louis Philippe,Hidden Convenience Fee,Drip Pricing,5,92,1284,1670
LST00190,2021,2,Flipkart,Footwear,VKC Pride Women's Flip Flops,VKC,Confirm Shaming,Misdirection,3,0,274,243
LST00191,2021,2,Flipkart,Mobile Phones,OnePlus Nord CE 3 Lite 5G 8GB+128GB,OnePlus,False Scarcity,Scarcity Creation,4,0,3728,19958
LST00192,2021,2,Flipkart,Fashion,Allen Solly Women Straight Fit Trousers,Allen Solly,Inflated Original Price,Pricing Manipulation,5,0,1302,983
LST00193,2021,2,Flipkart,Electronics,Logitech MK235 Wireless Keyboard Mouse,Logitech,Forced Continuity,Subscription Trap,4,0,548,1770
LST00195,2021,2,Flipkart,Mobile Phones,OnePlus Nord CE 3 Lite 5G 8GB+128GB,OnePlus,Misleading Discount Badge,Pricing Manipulation,4,0,6739,16287
LST00196,2021,2,Flipkart,Home & Kitchen,Pigeon by Stovekraft 1.5L Electric Kettle,Pigeon,Social Proof Manipulation,Social Proof Misuse,2,0,479,529
LST00198,2021,2,Flipkart,Electronics,Logitech MK235 Wireless Keyboard Mouse,Logitech,Inflated Original Price,Pricing Manipulation,5,0,657,1759
LST00199,2021,2,Flipkart,Mobile Phones,iQOO Z6 Lite 5G 4GB+128GB,iQOO,Inflated Original Price,Pricing Manipulation,5,0,2717,10460
LST00200,2021,2,Flipkart,Books,The Psychology of Money - Morgan Housel,Morgan Housel,Hidden Convenience Fee,Drip Pricing,5,88,180,316
LST00201,2021,2,Flipkart,Books,The Subtle Art of Not Giving a F*ck,Mark Manson,False Scarcity,Scarcity Creation,4,0,152,239
LST00202,2021,2,Flipkart,Electronics,Noise ColorFit Ultra 3 Smart Watch,Noise,Social Proof Manipulation,Social Proof Misuse,2,0,3258,1835
LST00203,2021,2,Flipkart,Toys,Webby Wooden Push & Pull Duck Toy,Webby,False Scarcity,Scarcity Creation,4,0,295,298
LST00204,2021,2,Flipkart,Footwear,Metro Women's Block Heel Pumps,Metro,Social Proof Manipulation,Social Proof Misuse,2,0,1356,906
LST00205,2021,2,Flipkart,Electronics,Mi 10000mAh Power Bank 3i,Xiaomi,Social Proof Manipulation,Social Proof Misuse,2,0,541,779
LST00206,2021,2,Flipkart,Home & Kitchen,Milton Thermosteel Flip Lid Flask 500ml,Milton,Misleading Discount Badge,Pricing Manipulation,4,0,338,531
LST00207,2021,2,Flipkart,Books,Rich Dad Poor Dad - Robert Kiyosaki,Robert Kiyosaki,Confirm Shaming,Misdirection,3,0,171,181
LST00208,2021,2,Flipkart,Fashion,Raymond Men's Blazer,Raymond,False Scarcity,Scarcity Creation,4,0,2683,3803
LST00209,2021,2,Flipkart,Footwear,Relaxo Flite Men's Slippers,Relaxo,Social Proof Manipulation,Social Proof Misuse,2,0,296,294
LST00211,2021,2,Flipkart,Toys,Skillofun Wooden Jigsaw Puzzle,Skillofun,Forced Continuity,Subscription Trap,4,0,423,315
LST00212,2021,2,Flipkart,Fashion,Raymond Men's Blazer,Raymond,Inflated Original Price,Pricing Manipulation,5,0,3464,3810
LST00213,2021,2,Flipkart,Fashion,Louis Philippe Slim Fit Chinos,Louis Philippe,Confirm Shaming,Misdirection,3,0,1467,1547
LST00214,2021,2,Flipkart,Footwear,Liberty Gliders Women's Bellies,Liberty,Inflated Original Price,Pricing Manipulation,5,0,759,655
LST00215,2021,2,Flipkart,Fashion,Van Heusen Men's Regular Fit T-Shirt,Van Heusen,Misleading Discount Badge,Pricing Manipulation,4,0,671,553
LST00216,2021,2,Flipkart,Footwear,Woodland Men's Camel Leather Boot,Woodland,Social Proof Manipulation,Social Proof Misuse,2,0,1898,2290
LST00217,2021,2,Flipkart,Mobile Phones,Motorola Moto G54 5G 8GB+256GB,Motorola,Misleading Discount Badge,Pricing Manipulation,4,0,6513,12508
LST00218,2021,2,Flipkart,Electronics,boAt Rockerz 450 Bluetooth Headphone,boAt,False Scarcity,Scarcity Creation,4,0,1156,1258
LST00219,2021,2,Flipkart,Books,The Subtle Art of Not Giving a F*ck,Mark Manson,Fake Countdown Timer,Urgency Creation,3,0,174,254
LST00220,2021,2,Flipkart,Toys,Frank Super Scientist Chemistry Set,Frank,Inflated Original Price,Pricing Manipulation,5,0,635,724
LST00221,2021,2,Flipkart,Electronics,iBall Slide Elan 3x32 Tablet,iBall,False Scarcity,Scarcity Creation,4,0,4305,6333
LST00222,2021,2,Flipkart,Beauty,Lakme Absolute Skin Natural Mousse Foundation,Lakme,Inflated Original Price,Pricing Manipulation,5,0,322,469
LST00224,2021,2,Flipkart,Electronics,Portronics Mport 7C USB Hub,Portronics,Social Proof Manipulation,Social Proof Misuse,2,0,584,537
LST00225,2021,2,Flipkart,Mobile Phones,Motorola Moto G54 5G 8GB+256GB,Motorola,Inflated Original Price,Pricing Manipulation,5,0,3239,15253
LST00226,2021,2,Flipkart,Footwear,Red Tape Men's Casual Sneakers,Red Tape,False Scarcity,Scarcity Creation,4,0,1244,1334
LST00228,2021,2,Flipkart,Fashion,Raymond Men's Blazer,Raymond,Hidden Convenience Fee,Drip Pricing,5,83,2953,3589
LST00229,2021,2,Flipkart,Toys,LEGO Classic Creative Brick Box,LEGO,False Scarcity,Scarcity Creation,4,0,1428,1868
LST00230,2021,2,Flipkart,Electronics,Portronics Mport 7C USB Hub,Portronics,Inflated Original Price,Pricing Manipulation,5,0,569,653
LST00232,2021,2,Flipkart,Beauty,Nykaa Cosmetics SKINgenius Setting Powder,Nykaa,Misleading Discount Badge,Pricing Manipulation,4,0,435,444
LST00235,2021,2,Flipkart,Toys,GiiKER Super Slide Puzzle Game,GiiKER,Inflated Original Price,Pricing Manipulation,5,0,814,1386
LST00236,2021,2,Flipkart,Home & Kitchen,NoBroker Wooden Foldable Study Table,NoBroker,Confirm Shaming,Misdirection,3,0,1510,1369
LST00238,2021,2,Flipkart,Mobile Phones,OPPO A78 5G 8GB+128GB,OPPO,Hidden Convenience Fee,Drip Pricing,5,97,1710,18201
LST00239,2021,2,Flipkart,Footwear,Bata Men's Formal Lace-up Shoes,Bata,Forced Continuity,Subscription Trap,4,0,1186,1272
LST00240,2021,2,Flipkart,Fashion,Biba Women's Anarkali Kurti,Biba,Confirm Shaming,Misdirection,3,0,1001,746
LST00241,2021,2,Flipkart,Beauty,Biotique Bio Honey Gel Face Wash,Biotique,Inflated Original Price,Pricing Manipulation,5,0,187,132
LST00242,2021,2,Flipkart,Toys,Mattel Hot Wheels 20-Car Gift Pack,Mattel,Hidden Convenience Fee,Drip Pricing,5,59,775,880
