listing_id,year,month,platform,category,product_name,brand,actual_price_inr,displayed_original_price_inr,discount_pct_shown,hidden_fee_inr,effective_price_inr,dark_pattern_type,ccpa_category,severity_score,ccpa_violation,price_inflation_inr
LST00061,2021,1,Flipkart,Electronics,Mi 10000mAh Power Bank 3i,Xiaomi,780,1253,37.7,0,780,Social Proof Manipulation,Social Proof Misuse,2,Yes,473
LST00062,2021,1,Flipkart,Footwear,Action Men's Training Shoes,Action,682,1507,54.7,0,682,Fake Countdown Timer,Urgency Creation,3,Yes,825
LST00063,2021,1,Flipkart,Fashion,Arrow Men's Formal Trousers,Arrow,830,2147,61.3,0,830,False Scarcity,Scarcity Creation,4,Yes,1317
LST00064,2021,1,Flipkart,Books,Deep Work - Cal Newport,Cal Newport,294,436,32.6,0,294,False Scarcity,Scarcity Creation,4,Yes,142
LST00065,2021,1,Flipkart,Books,Think and Grow Rich - Napoleon Hill,Napoleon Hill,138,277,50.2,86,224,Hidden Convenience Fee,Drip Pricing,5,Yes,139
LST00066,2021,1,Flipkart,Books,The Psychology of Money - Morgan Housel,Morgan Housel,276,426,35.2,0,276,False Scarcity,Scarcity Creation,4,Yes,150
LST00067,2021,1,Flipkart,Mobile Phones,Nothing Phone (2a) 8GB+128GB,Nothing,22901,29559,22.5,0,22901,Social Proof Manipulation,Social Proof Misuse,2,Yes,6658
LST00068,2021,1,Flipkart,Beauty,Himalaya Herbals Purifying Neem Face Wash,Himalaya,87,192,54.7,0,87,Inflated Original Price,Pricing Manipulation,5,Yes,105
LST00069,2021,1,Flipkart,Mobile Phones,Vivo Y56 5G 8GB+128GB,Vivo,15677,18400,14.8,0,15677,Forced Continuity,Subscription Trap,4,Yes,2723
LST00070,2021,1,Flipkart,Footwear,VKC Pride Women's Flip Flops,VKC,246,513,52.0,0,246,Inflated Original Price,Pricing Manipulation,5,Yes,267
LST00071,2021,1,Meesho,Mobile Phones,Nothing Phone (2a) 8GB+128GB,Nothing,24943,30571,18.4,39,24982,Hidden Convenience Fee,Drip Pricing,5,Yes,5628
LST00072,2021,1,Meesho,Home & Kitchen,Solimo Stainless Steel Dinner Set 26 Pcs,Solimo,731,1390,47.4,0,731,None,No Violation,0,No,659
LST00073,2021,1,Meesho,Fashion,AND Women's Wrap Dress,AND,1272,2857,55.5,0,1272,Forced Continuity,Subscription Trap,4,Yes,1585
LST00074,2021,1,Meesho,Toys,Webby Wooden Push & Pull Duck Toy,Webby,281,614,54.2,0,281,False Scarcity,Scarcity Creation,4,Yes,333
LST00075,2021,1,Meesho,Books,The Alchemist - Paulo Coelho,Paulo Coelho,137,268,48.9,0,137,Fake Countdown Timer,Urgency Creation,3,Yes,131
LST00076,2021,1,Meesho,Home & Kitchen,Pigeon by Stovekraft 1.5L Electric Kettle,Pigeon,543,1047,48.1,0,543,Confirm Shaming,Misdirection,3,Yes,504
LST00077,2021,1,Meesho,Toys,Frank Super Scientist Chemistry Set,Frank,752,1487,49.4,0,752,Misleading Discount Badge,Pricing Manipulation,4,Yes,735
LST00078,2021,1,Meesho,Beauty,Nykaa Cosmetics SKINgenius Setting Powder,Nykaa,493,935,47.3,0,493,None,No Violation,0,No,442
LST00079,2021,1,Meesho,Mobile Phones,Nothing Phone (2a) 8GB+128GB,Nothing,23910,28747,16.8,0,23910,Social Proof Manipulation,Social Proof Misuse,2,Yes,4837
LST00080,2021,1,Meesho,Home & Kitchen,Hawkins Futura 3L Hard Anodized Pressure Cooker,Hawkins,1728,3188,45.8,0,1728,Inflated Original Price,Pricing Manipulation,5,Yes,1460
LST00081,2021,1,Meesho,Home & Kitchen,Crompton Greaves Ozone Desert Air Cooler,Crompton,7325,11362,35.5,0,7325,Forced Continuity,Subscription Trap,4,Yes,4037
LST00082,2021,1,Meesho,Footwear,Action Men's Training Shoes,Action,693,1301,46.7,0,693,None,No Violation,0,No,608
LST00083,2021,1,Meesho,Books,Think and Grow Rich - Napoleon Hill,Napoleon Hill,165,276,40.2,0,165,None,No Violation,0,No,111
LST00084,2021,1,Meesho,Books,The Subtle Art of Not Giving a F*ck,Mark Manson,219,390,43.8,0,219,Forced Continuity,Subscription Trap,4,Yes,171
LST00085,2021,1,Meesho,Home & Kitchen,Usha Maxx Air 400mm Pedestal Fan,Usha,2144,3463,38.1,0,2144,Confirm Shaming,Misdirection,3,Yes,1319
LST00086,2021,1,Meesho,Books,Rich Dad Poor Dad - Robert Kiyosaki,Robert Kiyosaki,215,373,42.4,0,215,None,No Violation,0,No,158
LST00087,2021,1,Meesho,Electronics,Syska LED Desk Lamp,Syska,459,922,50.2,0,459,Forced Continuity,Subscription Trap,4,Yes,463
LST00088,2021,1,Meesho,Beauty,Nykaa Cosmetics SKINgenius Setting Powder,Nykaa,461,865,46.7,0,461,Misleading Discount Badge,Pricing Manipulation,4,Yes,404
LST00089,2021,1,Meesho,Footwear,Woodland Men's Camel Leather Boot,Woodland,2656,4412,39.8,0,2656,Forced Continuity,Subscription Trap,4,Yes,1756
LST00090,2021,1,Meesho,Mobile Phones,realme narzo N53 4GB+64GB,realme,8438,12477,32.4,0,8438,Confirm Shaming,Misdirection,3,Yes,4039
LST00091,2021,1,Meesho,Home & Kitchen,Pigeon by Stovekraft 1.5L Electric Kettle,Pigeon,586,1023,42.7,32,618,Hidden Convenience Fee,Drip Pricing,5,Yes,437
LST00092,2021,1,Meesho,Electronics,Logitech MK235 Wireless Keyboard Mouse,Logitech,1462,2158,32.3,49,1511,Hidden Convenience Fee,Drip Pricing,5,Yes,696
LST00093,2021,1,Meesho,Mobile Phones,OnePlus Nord CE 3 Lite 5G 8GB+128GB,OnePlus,16564,23394,29.2,0,16564,False Scarcity,Scarcity Creation,4,Yes,6830
LST00094,2021,1,Meesho,Beauty,WOW Skin Science Apple Cider Vinegar Shampoo,WOW,271,554,51.1,0,271,Forced Continuity,Subscription Trap,4,Yes,283
LST00095,2021,1,Meesho,Books,The Alchemist - Paulo Coelho,Paulo Coelho,134,258,48.1,0,134,False Scarcity,Scarcity Creation,4,Yes,124
LST00096,2021,1,Meesho,Mobile Phones,Motorola Moto G54 5G 8GB+256GB,Motorola,15026,19899,24.5,0,15026,Fake Countdown Timer,Urgency Creation,3,Yes,4873
LST00097,2021,1,Meesho,Footwear,Action Men's Training Shoes,Action,687,1370,49.9,0,687,Confirm Shaming,Misdirection,3,Yes,683
LST00098,2021,1,Meesho,Electronics,Syska LED Desk Lamp,Syska,484,842,42.5,0,484,None,No Violation,0,No,358
LST00099,2021,1,Meesho,Toys,Hasbro Monopoly Classic Board Game,Hasbro,787,1555,49.4,0,787,None,No Violation,0,No,768
LST00100,2021,1,Meesho,Mobile Phones,Motorola Moto G54 5G 8GB+256GB,Motorola,15034,19115,21.3,0,15034,Forced Continuity,Subscription Trap,4,Yes,4081
LST00101,2021,1,Meesho,Mobile Phones,OnePlus Nord CE 3 Lite 5G 8GB+128GB,OnePlus,19518,24216,19.4,0,19518,Misleading Discount Badge,Pricing Manipulation,4,Yes,4698
LST00102,2021,1,Meesho,Home & Kitchen,Usha Maxx Air 400mm Pedestal Fan,Usha,2338,3593,34.9,0,2338,Misleading Discount Badge,Pricing Manipulation,4,Yes,1255
LST00103,2021,1,Meesho,Footwear,Liberty Gliders Women's Bellies,Liberty,697,1464,52.4,0,697,Social Proof Manipulation,Social Proof Misuse,2,Yes,767
LST00104,2021,1,Meesho,Mobile Phones,Nothing Phone (2a) 8GB+128GB,Nothing,21178,32150,34.1,0,21178,Forced Continuity,Subscription Trap,4,Yes,10972
LST00105,2021,1,Meesho,Toys,NHR Carrom Board with Coins & Striker,NHR,955,1854,48.5,0,955,Misleading Discount Badge,Pricing Manipulation,4,Yes,899
LST00106,2021,1,Meesho,Toys,Funskool Ludo & Snakes & Ladders Board Game,Funskool,270,572,52.8,0,270,Social Proof Manipulation,Social Proof Misuse,2,Yes,302
LST00107,2021,1,Meesho,Footwear,VKC Pride Women's Flip Flops,VKC,252,487,48.3,0,252,None,No Violation,0,No,235
LST00108,2021,1,Meesho,Footwear,Woodland Men's Camel Leather Boot,Woodland,2621,4334,39.5,0,2621,False Scarcity,Scarcity Creation,4,Yes,1713
LST00109,2021,1,Meesho,Home & Kitchen,Bajaj Majesty 1000W Room Heater,Bajaj,1180,2212,46.7,0,1180,Inflated Original Price,Pricing Manipulation,5,Yes,1032
LST00110,2021,1,Meesho,Home & Kitchen,Solimo Stainless Steel Dinner Set 26 Pcs,Solimo,845,1445,41.5,0,845,Social Proof Manipulation,Social Proof Misuse,2,Yes,600
LST00111,2021,1,Meesho,Fashion,W Women's Printed Kurta,W,570,1270,55.1,0,570,Inflated Original Price,Pricing Manipulation,5,Yes,700
LST00112,2021,1,Meesho,Mobile Phones,Redmi 12C 4GB RAM 64GB Storage,Xiaomi,8353,11093,24.7,0,8353,Inflated Original Price,Pricing Manipulation,5,Yes,2740
LST00113,2021,1,Meesho,Toys,Itsy Bitsy Wooden Building Blocks 50pcs,Itsy Bitsy,544,1011,46.2,0,544,Misleading Discount Badge,Pricing Manipulation,4,Yes,467
LST00114,2021,1,Meesho,Footwear,Liberty Gliders Women's Bellies,Liberty,777,1440,46.0,0,777,None,No Violation,0,No,663
LST00115,2021,1,Meesho,Fashion,Allen Solly Women Straight Fit Trousers,Allen Solly,975,2049,52.4,0,975,Fake Countdown Timer,Urgency Creation,3,Yes,1074
LST00116,2021,1,Meesho,Beauty,Biotique Bio Honey Gel Face Wash,Biotique,160,320,50.0,27,187,Hidden Convenience Fee,Drip Pricing,5,Yes,160
LST00117,2021,1,Meesho,Books,Think and Grow Rich - Napoleon Hill,Napoleon Hill,152,305,50.2,0,152,Forced Continuity,Subscription Trap,4,Yes,153
LST00118,2021,1,Meesho,Toys,Mattel Hot Wheels 20-Car Gift Pack,Mattel,760,1520,50.0,0,760,Fake Countdown Timer,Urgency Creation,3,Yes,760
LST00119,2021,1,Meesho,Fashion,W Women's Printed Kurta,W,617,1250,50.6,31,648,Hidden Convenience Fee,Drip Pricing,5,Yes,633
LST00120,2021,1,Meesho,Fashion,Van Heusen Men's Regular Fit T-Shirt,Van Heusen,439,1190,63.1,0,439,Social Proof Manipulation,Social Proof Misuse,2,Yes,751
LST00121,2021,1,Meesho,Electronics,Mi 10000mAh Power Bank 3i,Xiaomi,758,1254,39.6,0,758,None,No Violation,0,No,496
LST00122,2021,1,Meesho,Fashion,W Women's Printed Kurta,W,660,1359,51.4,47,707,Hidden Convenience Fee,Drip Pricing,5,Yes,699
LST00123,2021,1,Nykaa,Home & Kitchen,Milton Thermosteel Flip Lid Flask 500ml,Milton,548,946,42.1,0,548,Inflated Original Price,Pricing Manipulation,5,Yes,398
LST00124,2021,1,Nykaa,Mobile Phones,Motorola Moto G54 5G 8GB+256GB,Motorola,14835,19209,22.8,0,14835,False Scarcity,Scarcity Creation,4,Yes,4374
LST00125,2021,1,Nykaa,Toys,GiiKER Super Slide Puzzle Game,GiiKER,1361,2355,42.2,0,1361,Misleading Discount Badge,Pricing Manipulation,4,Yes,994
LST00126,2021,1,Nykaa,Toys,Itsy Bitsy Wooden Building Blocks 50pcs,Itsy Bitsy,511,1061,51.8,0,511,None,No Violation,0,No,550
LST00127,2021,1,Nykaa,Mobile Phones,Redmi 12C 4GB RAM 64GB Storage,Xiaomi,6763,11812,42.7,0,6763,None,No Violation,0,No,5049
LST00128,2021,1,Nykaa,Electronics,PTron Bassbuds Pro In-Ear TWS,PTron,712,2083,65.8,0,712,Misleading Discount Badge,Pricing Manipulation,4,Yes,1371
LST00129,2021,1,Nykaa,Mobile Phones,Samsung Galaxy M14 5G 4GB+128GB,Samsung,13980,16825,16.9,0,13980,None,No Violation,0,No,2845
LST00130,2021,1,Nykaa,Fashion,AND Women's Wrap Dress,AND,1252,2724,54.0,0,1252,Inflated Original Price,Pricing Manipulation,5,Yes,1472
LST00131,2021,1,Nykaa,Footwear,Metro Women's Block Heel Pumps,Metro,1045,2124,50.8,0,1045,None,No Violation,0,No,1079
LST00132,2021,1,Nykaa,Electronics,iBall Slide Elan 3x32 Tablet,iBall,6307,9603,34.3,0,6307,Forced Continuity,Subscription Trap,4,Yes,3296
LST00133,2021,1,Nykaa,Electronics,Amkette EvoFox Elite Play Gamepad,Amkette,990,1671,40.8,0,990,Misleading Discount Badge,Pricing Manipulation,4,Yes,681
LST00134,2021,1,Nykaa,Toys,Funskool Ludo & Snakes & Ladders Board Game,Funskool,278,604,54.0,0,278,None,No Violation,0,No,326
LST00135,2021,1,Nykaa,Toys,Mattel Hot Wheels 20-Car Gift Pack,Mattel,726,1612,55.0,50,776,Hidden Convenience Fee,Drip Pricing,5,Yes,886
LST00136,2021,1,Nykaa,Mobile Phones,Nothing Phone (2a) 8GB+128GB,Nothing,21198,29557,28.3,0,21198,False Scarcity,Scarcity Creation,4,Yes,8359
LST00137,2021,1,Nykaa,Toys,Itsy Bitsy Wooden Building Blocks 50pcs,Itsy Bitsy,517,944,45.2,0,517,None,No Violation,0,No,427
LST00138,2021,1,Nykaa,Mobile Phones,Nothing Phone (2a) 8GB+128GB,Nothing,25182,29593,14.9,0,25182,Misleading Discount Badge,Pricing Manipulation,4,Yes,4411
LST00139,2021,1,Nykaa,Home & Kitchen,Usha Maxx Air 400mm Pedestal Fan,Usha,2327,3434,32.2,0,2327,None,No Violation,0,No,1107
LST00140,2021,1,Nykaa,Beauty,Mamaearth Onion Hair Oil 250ml,Mamaearth,330,627,47.4,0,330,Social Proof Manipulation,Social Proof Misuse,2,Yes,297
LST00141,2021,1,Nykaa,Electronics,PTron Bassbuds Pro In-Ear TWS,PTron,737,2107,65.0,0,737,Misleading Discount Badge,Pricing Manipulation,4,Yes,1370
LST00142,2021,1,Nykaa,Beauty,Nykaa Cosmetics SKINgenius Setting Powder,Nykaa,504,877,42.5,0,504,Forced Continuity,Subscription Trap,4,Yes,373
LST00143,2021,1,Nykaa,Toys,Skillofun Wooden Jigsaw Puzzle,Skillofun,380,753,49.5,0,380,Forced Continuity,Subscription Trap,4,Yes,373
LST00144,2021,1,Nykaa,Home & Kitchen,Crompton Greaves Ozone Desert Air Cooler,Crompton,6232,11430,45.5,0,6232,None,No Violation,0,No,5198
LST00145,2021,1,Nykaa,Books,Ikigai - Hector Garcia,Hector Garcia,222,365,39.2,0,222,Inflated Original Price,Pricing Manipulation,5,Yes,143
LST00146,2021,1,Nykaa,Toys,Funskool Ludo & Snakes & Ladders Board Game,Funskool,272,644,57.8,0,272,False Scarcity,Scarcity Creation,4,Yes,372
LST00147,2021,1,Nykaa,Toys,Itsy Bitsy Wooden Building Blocks 50pcs,Itsy Bitsy,502,992,49.4,0,502,None,No Violation,0,No,490
LST00148,2021,1,Nykaa,Books,Rich Dad Poor Dad - Robert Kiyosaki,Robert Kiyosaki,179,366,51.1,0,179,Forced Continuity,Subscription Trap,4,Yes,187
LST00149,2021,1,Nykaa,Fashion,Biba Women's Anarkali Kurti,Biba,867,1902,54.4,0,867,Confirm Shaming,Misdirection,3,Yes,1035
LST00150,2021,1,Nykaa,Toys,NHR Carrom Board with Coins & Striker,NHR,799,1675,52.3,0,799,Social Proof Manipulation,Social Proof Misuse,2,Yes,876
LST00151,2021,1,Nykaa,Home & Kitchen,Pigeon by Stovekraft 1.5L Electric Kettle,Pigeon,540,935,42.2,0,540,False Scarcity,Scarcity Creation,4,Yes,395
LST00152,2021,1,Nykaa,Toys,Hasbro Monopoly Classic Board Game,Hasbro,836,1596,47.6,0,836,Fake Countdown Timer,Urgency Creation,3,Yes,760
LST00153,2021,1,Nykaa,Mobile Phones,OnePlus Nord CE 3 Lite 5G 8GB+128GB,OnePlus,17458,21695,19.5,0,17458,Inflated Original Price,Pricing Manipulation,5,Yes,4237
LST00154,2021,1,Nykaa,Beauty,Biotique Bio Honey Gel Face Wash,Biotique,134,317,57.7,93,227,Hidden Convenience Fee,Drip Pricing,5,Yes,183
LST00155,2021,1,Nykaa,Beauty,Himalaya Herbals Purifying Neem Face Wash,Himalaya,88,172,48.8,0,88,Fake Countdown Timer,Urgency Creation,3,Yes,84
LST00156,2021,1,Nykaa,Toys,GiiKER Super Slide Puzzle Game,GiiKER,1354,2079,34.9,0,1354,Confirm Shaming,Misdirection,3,Yes,725
LST00157,2021,1,Nykaa,Mobile Phones,Vivo Y56 5G 8GB+128GB,Vivo,16207,19861,18.4,0,16207,Forced Continuity,Subscription Trap,4,Yes,3654
LST00158,2021,1,Nykaa,Toys,Itsy Bitsy Wooden Building Blocks 50pcs,Itsy Bitsy,468,1010,53.7,0,468,Social Proof Manipulation,Social Proof Misuse,2,Yes,542
LST00159,2021,1,Nykaa,Electronics,Syska LED Desk Lamp,Syska,425,908,53.2,0,425,None,No Violation,0,No,483
LST00160,2021,1,Nykaa,Electronics,Logitech MK235 Wireless Keyboard Mouse,Logitech,1689,2417,30.1,0,1689,None,No Violation,0,No,728
LST00161,2021,1,Nykaa,Home & Kitchen,NoBroker Wooden Foldable Study Table,NoBroker,1608,2864,43.9,0,1608,Social Proof Manipulation,Social Proof Misuse,2,Yes,1256
LST00162,2021,1,Nykaa,Beauty,Mamaearth Onion Hair Oil 250ml,Mamaearth,383,613,37.5,0,383,Misleading Discount Badge,Pricing Manipulation,4,Yes,230
LST00163,2021,1,Nykaa,Electronics,Logitech MK235 Wireless Keyboard Mouse,Logitech,1543,2160,28.6,0,1543,None,No Violation,0,No,617
LST00164,2021,1,Nykaa,Footwear,Metro Women's Block Heel Pumps,Metro,921,2070,55.5,0,921,Confirm Shaming,Misdirection,3,Yes,1149
LST00165,2021,1,Nykaa,Mobile Phones,Samsung Galaxy M14 5G 4GB+128GB,Samsung,11761,17882,34.2,0,11761,Social Proof Manipulation,Social Proof Misuse,2,Yes,6121
LST00166,2021,1,Nykaa,Footwear,Sparx Men's Running Sports Shoes,Sparx,892,1677,46.8,0,892,None,No Violation,0,No,785
