listing_id,year,month,platform,category,product_name,brand,dark_pattern_type,ccpa_category,severity_score,actual_price_inr,displayed_original_price_inr,price_inflation_inr,price_inflation_pct,hidden_fee_inr,ccpa_violation,sev_norm,inf_norm,fee_norm,contrib_severity,contrib_inflation,contrib_hidden_fee,base_score,ccpa_penalty,harm_score,risk_tier
LST00069,2021,1,Flipkart,Mobile Phones,Vivo Y56 5G 8GB+128GB,Vivo,Forced Continuity,Subscription Trap,4,15677,18400,2723,17.3694,0,Yes,0.6666666666666666,0.0570812740512801,0.0,27.0,1.8,0.0,28.79806013261532,10.0,38.8,🟢 Low
LST00070,2021,1,Flipkart,Footwear,VKC Pride Women's Flip Flops,VKC,Inflated Original Price,Pricing Manipulation,5,246,513,267,108.5366,0,Yes,1.0,0.4497721831735155,0.0,40.5,14.17,0.0,54.66782376996574,10.0,64.67,🟡 Medium
LST00071,2021,1,Meesho,Mobile Phones,Nothing Phone (2a) 8GB+128GB,Nothing,Hidden Convenience Fee,Drip Pricing,5,24943,30571,5628,22.5634,39,Yes,1.0,0.07945375650089895,0.325,40.5,2.5,5.85,48.852793329778315,10.0,58.85,🟡 Medium
LST00073,2021,1,Meesho,Fashion,AND Women's Wrap Dress,AND,Forced Continuity,Subscription Trap,4,1272,2857,1585,124.6069,0,Yes,0.6666666666666666,0.5189929195443491,0.0,27.0,16.35,0.0,43.348276965646996,10.0,53.35,🟡 Medium
LST00074,2021,1,Meesho,Toys,Webby Wooden Push & Pull Duck Toy,Webby,False Scarcity,Scarcity Creation,4,281,614,333,118.5053,0,Yes,0.6666666666666666,0.49271106761624084,0.0,27.0,15.52,0.0,42.52039862991158,10.0,52.52,🟡 Medium
LST00075,2021,1,Meesho,Books,The Alchemist - Paulo Coelho,Paulo Coelho,Fake Countdown Timer,Urgency Creation,3,137,268,131,95.6204,0,Yes,0.3333333333333333,0.39413732414083036,0.0,13.5,12.42,0.0,25.915325710436154,10.0,35.92,🟢 Low
LST00076,2021,1,Meesho,Home & Kitchen,Pigeon by Stovekraft 1.5L Electric Kettle,Pigeon,Confirm Shaming,Misdirection,3,543,1047,504,92.8177,0,Yes,0.3333333333333333,0.38206505680129493,0.0,13.5,12.04,0.0,25.53504928924079,10.0,35.54,🟢 Low
LST00077,2021,1,Meesho,Toys,Frank Super Scientist Chemistry Set,Frank,Misleading Discount Badge,Pricing Manipulation,4,752,1487,735,97.7394,0,Yes,0.6666666666666666,0.4032646422599567,0.0,27.0,12.7,0.0,39.702836231188634,10.0,49.7,🟢 Low
LST00079,2021,1,Meesho,Mobile Phones,Nothing Phone (2a) 8GB+128GB,Nothing,Social Proof Manipulation,Social Proof Misuse,2,23910,28747,4837,20.23,0,Yes,0.0,0.069402938143575,0.0,0.0,2.19,0.0,2.186192551522612,10.0,12.19,🟢 Low
LST00080,2021,1,Meesho,Home & Kitchen,Hawkins Futura 3L Hard Anodized Pressure Cooker,Hawkins,Inflated Original Price,Pricing Manipulation,5,1728,3188,1460,84.4907,0,Yes,1.0,0.3461975825313727,0.0,40.5,10.91,0.0,51.40522384973824,10.0,61.41,🟡 Medium
LST00081,2021,1,Meesho,Home & Kitchen,Crompton Greaves Ozone Desert Air Cooler,Crompton,Forced Continuity,Subscription Trap,4,7325,11362,4037,55.1126,0,Yes,0.6666666666666666,0.21965522083457886,0.0,27.0,6.92,0.0,33.91913945628924,10.0,43.92,🟢 Low
LST00084,2021,1,Meesho,Books,The Subtle Art of Not Giving a F*ck,Mark Manson,Forced Continuity,Subscription Trap,4,219,390,171,78.0822,0,Yes,0.6666666666666666,0.31859379859252357,0.0,27.0,10.04,0.0,37.03570465566449,10.0,47.04,🟢 Low
LST00085,2021,1,Meesho,Home & Kitchen,Usha Maxx Air 400mm Pedestal Fan,Usha,Confirm Shaming,Misdirection,3,2144,3463,1319,61.5205,0,Yes,0.3333333333333333,0.24725642035111958,0.0,13.5,7.79,0.0,21.288577241060263,10.0,31.29,🟢 Low
LST00087,2021,1,Meesho,Electronics,Syska LED Desk Lamp,Syska,Forced Continuity,Subscription Trap,4,459,922,463,100.8715,0,Yes,0.6666666666666666,0.4167557574467975,0.0,27.0,13.13,0.0,40.127806359574116,10.0,50.13,🟡 Medium
LST00088,2021,1,Meesho,Beauty,Nykaa Cosmetics SKINgenius Setting Powder,Nykaa,Misleading Discount Badge,Pricing Manipulation,4,461,865,404,87.6356,0,Yes,0.6666666666666666,0.35974383206079247,0.0,27.0,11.33,0.0,38.331930709914964,10.0,48.33,🟢 Low
LST00089,2021,1,Meesho,Footwear,Woodland Men's Camel Leather Boot,Woodland,Forced Continuity,Subscription Trap,4,2656,4412,1756,66.1145,0,Yes,0.6666666666666666,0.2670444804923497,0.0,27.0,8.41,0.0,35.41190113550901,10.0,45.41,🟢 Low
LST00090,2021,1,Meesho,Mobile Phones,realme narzo N53 4GB+64GB,realme,Confirm Shaming,Misdirection,3,8438,12477,4039,47.8668,0,Yes,0.3333333333333333,0.1884448755643732,0.0,13.5,5.94,0.0,19.436013580277752,10.0,29.44,🟢 Low
LST00091,2021,1,Meesho,Home & Kitchen,Pigeon by Stovekraft 1.5L Electric Kettle,Pigeon,Hidden Convenience Fee,Drip Pricing,5,586,1023,437,74.5734,32,Yes,1.0,0.30348009693306605,0.26666666666666666,40.5,9.56,4.8,54.85962305339158,10.0,64.86,🟡 Medium
LST00092,2021,1,Meesho,Electronics,Logitech MK235 Wireless Keyboard Mouse,Logitech,Hidden Convenience Fee,Drip Pricing,5,1462,2158,696,47.606,49,Yes,1.0,0.18732151333432692,0.4083333333333333,40.5,5.9,7.35,53.7506276700313,10.0,63.75,🟡 Medium
LST00093,2021,1,Meesho,Mobile Phones,OnePlus Nord CE 3 Lite 5G 8GB+128GB,OnePlus,False Scarcity,Scarcity Creation,4,16564,23394,6830,41.234,0,Yes,0.6666666666666666,0.1598749484192381,0.0,27.0,5.04,0.0,32.036060875206,10.0,42.04,🟢 Low
LST00094,2021,1,Meesho,Beauty,WOW Skin Science Apple Cider Vinegar Shampoo,WOW,Forced Continuity,Subscription Trap,4,271,554,283,104.428,0,Yes,0.6666666666666666,0.43207492067977193,0.0,27.0,13.61,0.0,40.610360001412815,10.0,50.61,🟡 Medium
LST00095,2021,1,Meesho,Books,The Alchemist - Paulo Coelho,Paulo Coelho,False Scarcity,Scarcity Creation,4,134,258,124,92.5373,0,Yes,0.6666666666666666,0.3808572701091746,0.0,27.0,12.0,0.0,38.997004008439,10.0,49.0,🟢 Low
LST00096,2021,1,Meesho,Mobile Phones,Motorola Moto G54 5G 8GB+256GB,Motorola,Fake Countdown Timer,Urgency Creation,3,15026,19899,4873,32.4305,0,Yes,0.3333333333333333,0.12195501209940378,0.0,13.5,3.84,0.0,17.34158288113122,10.0,27.34,🟢 Low
LST00097,2021,1,Meesho,Footwear,Action Men's Training Shoes,Action,Confirm Shaming,Misdirection,3,687,1370,683,99.4178,0,Yes,0.3333333333333333,0.41049413293062287,0.0,13.5,12.93,0.0,26.430565187314617,10.0,36.43,🟢 Low
LST00100,2021,1,Meesho,Mobile Phones,Motorola Moto G54 5G 8GB+256GB,Motorola,Forced Continuity,Subscription Trap,4,15034,19115,4081,27.1451,0,Yes,0.6666666666666666,0.09918883598480704,0.0,27.0,3.12,0.0,30.124448333521418,10.0,40.12,🟢 Low
LST00101,2021,1,Meesho,Mobile Phones,OnePlus Nord CE 3 Lite 5G 8GB+128GB,OnePlus,Misleading Discount Badge,Pricing Manipulation,4,19518,24216,4698,24.0701,0,Yes,0.6666666666666666,0.08594367165431456,0.0,27.0,2.71,0.0,29.70722565711091,10.0,39.71,🟢 Low
LST00102,2021,1,Meesho,Home & Kitchen,Usha Maxx Air 400mm Pedestal Fan,Usha,Misleading Discount Badge,Pricing Manipulation,4,2338,3593,1255,53.6784,0,Yes,0.6666666666666666,0.21347759004342692,0.0,27.0,6.72,0.0,33.72454408636795,10.0,43.72,🟢 Low
LST00103,2021,1,Meesho,Footwear,Liberty Gliders Women's Bellies,Liberty,Social Proof Manipulation,Social Proof Misuse,2,697,1464,767,110.043,0,Yes,0.0,0.45626080611577696,0.0,0.0,14.37,0.0,14.372215392646973,10.0,24.37,🟢 Low
LST00104,2021,1,Meesho,Mobile Phones,Nothing Phone (2a) 8GB+128GB,Nothing,Forced Continuity,Subscription Trap,4,21178,32150,10972,51.8085,0,Yes,0.6666666666666666,0.2054232379193333,0.0,27.0,6.47,0.0,33.470831994459,10.0,43.47,🟢 Low
LST00105,2021,1,Meesho,Toys,NHR Carrom Board with Coins & Striker,NHR,Misleading Discount Badge,Pricing Manipulation,4,955,1854,899,94.1361,0,Yes,0.6666666666666666,0.3877438940869279,0.0,27.0,12.21,0.0,39.21393266373823,10.0,49.21,🟢 Low
LST00106,2021,1,Meesho,Toys,Funskool Ludo & Snakes & Ladders Board Game,Funskool,Social Proof Manipulation,Social Proof Misuse,2,270,572,302,111.8519,0,Yes,0.0,0.4640524086385177,0.0,0.0,14.62,0.0,14.617650872113307,10.0,24.62,🟢 Low
LST00108,2021,1,Meesho,Footwear,Woodland Men's Camel Leather Boot,Woodland,False Scarcity,Scarcity Creation,4,2621,4334,1713,65.3567,0,Yes,0.6666666666666666,0.26378035511685466,0.0,27.0,8.31,0.0,35.30908118618092,10.0,45.31,🟢 Low
LST00109,2021,1,Meesho,Home & Kitchen,Bajaj Majesty 1000W Room Heater,Bajaj,Inflated Original Price,Pricing Manipulation,5,1180,2212,1032,87.4576,0,Yes,1.0,0.3589771201093038,0.0,40.5,11.31,0.0,51.80777928344307,10.0,61.81,🟡 Medium
LST00110,2021,1,Meesho,Home & Kitchen,Solimo Stainless Steel Dinner Set 26 Pcs,Solimo,Social Proof Manipulation,Social Proof Misuse,2,845,1445,600,71.0059,0,Yes,0.0,0.2881135526244378,0.0,0.0,9.08,0.0,9.07557690766979,10.0,19.08,🟢 Low
LST00111,2021,1,Meesho,Fashion,W Women's Printed Kurta,W,Inflated Original Price,Pricing Manipulation,5,570,1270,700,122.807,0,Yes,1.0,0.5112400833562342,0.0,40.5,16.1,0.0,56.60406262572138,10.0,66.6,🟠 High
LST00112,2021,1,Meesho,Mobile Phones,Redmi 12C 4GB RAM 64GB Storage,Xiaomi,Inflated Original Price,Pricing Manipulation,5,8353,11093,2740,32.8026,0,Yes,1.0,0.1235577846676562,0.0,40.5,3.89,0.0,44.392070217031176,10.0,54.39,🟡 Medium
LST00113,2021,1,Meesho,Toys,Itsy Bitsy Wooden Building Blocks 50pcs,Itsy Bitsy,Misleading Discount Badge,Pricing Manipulation,4,544,1011,467,85.8456,0,Yes,0.6666666666666666,0.352033638840766,0.0,27.0,11.09,0.0,38.089059623484125,10.0,48.09,🟢 Low
LST00115,2021,1,Meesho,Fashion,Allen Solly Women Straight Fit Trousers,Allen Solly,Fake Countdown Timer,Urgency Creation,3,975,2049,1074,110.1538,0,Yes,0.3333333333333333,0.4567380627687261,0.0,13.5,14.39,0.0,27.88724897721487,10.0,37.89,🟢 Low
LST00116,2021,1,Meesho,Beauty,Biotique Bio Honey Gel Face Wash,Biotique,Hidden Convenience Fee,Drip Pricing,5,160,320,160,100.0,27,Yes,1.0,0.4130018840438628,0.225,40.5,13.01,4.05,57.559559347381686,10.0,67.56,🟠 High
LST00117,2021,1,Meesho,Books,Think and Grow Rich - Napoleon Hill,Napoleon Hill,Forced Continuity,Subscription Trap,4,152,305,153,100.6579,0,Yes,0.6666666666666666,0.41583570310501106,0.0,27.0,13.1,0.0,40.098824647807845,10.0,50.1,🟡 Medium
LST00118,2021,1,Meesho,Toys,Mattel Hot Wheels 20-Car Gift Pack,Mattel,Fake Countdown Timer,Urgency Creation,3,760,1520,760,100.0,0,Yes,0.3333333333333333,0.4130018840438628,0.0,13.5,13.01,0.0,26.50955934738168,10.0,36.51,🟢 Low
LST00119,2021,1,Meesho,Fashion,W Women's Printed Kurta,W,Hidden Convenience Fee,Drip Pricing,5,617,1250,633,102.5932,31,Yes,1.0,0.4241717572607191,0.25833333333333336,40.5,13.36,4.65,58.51141035371264,10.0,68.51,🟠 High
LST00120,2021,1,Meesho,Fashion,Van Heusen Men's Regular Fit T-Shirt,Van Heusen,Social Proof Manipulation,Social Proof Misuse,2,439,1190,751,171.0706,0,Yes,0.0,0.7191292908948218,0.0,0.0,22.65,0.0,22.652572663186888,10.0,32.65,🟢 Low
LST00122,2021,1,Meesho,Fashion,W Women's Printed Kurta,W,Hidden Convenience Fee,Drip Pricing,5,660,1359,699,105.9091,47,Yes,1.0,0.43845456714802966,0.39166666666666666,40.5,13.81,7.05,61.361318865162936,10.0,71.36,🟠 High
LST00123,2021,1,Nykaa,Home & Kitchen,Milton Thermosteel Flip Lid Flask 500ml,Milton,Inflated Original Price,Pricing Manipulation,5,548,946,398,72.6277,0,Yes,1.0,0.2950992461240126,0.0,40.5,9.3,0.0,49.7956262529064,10.0,59.8,🟡 Medium
LST00124,2021,1,Nykaa,Mobile Phones,Motorola Moto G54 5G 8GB+256GB,Motorola,False Scarcity,Scarcity Creation,4,14835,19209,4374,29.4843,0,Yes,0.6666666666666666,0.10926463709111209,0.0,27.0,3.44,0.0,30.44183606837003,10.0,40.44,🟢 Low
